session_id,label,speed_score,vibration_score,pause_ratio,smoothness_score,gyro_std,gyro_max,gyro_range,jerk_mean,jerk_max,energy,writer_id,text_id
20251231_143413,perfect,1702.402475277944,867.3282464310223,0.2790014684287812,1.9628122113171853,2175.881109385854,15653.315367678504,15552.985910389032,306.51987659323737,7986.049053035256,7632632.790014684,p01,word01
20251231_164650,perfect,1090.2274768227912,561.7972929007341,0.025,1.940606493941972,1553.581475853115,13633.034181721983,13430.54467582106,136.7469287782851,3266.639109737568,3602211.353333333,p01,word01
20251231_164925,perfect,276.5894488617521,30.232786784303386,0.024390243902439,9.148658431206766,45.85564515941708,307.64590034648603,305.91384953891713,23.5372760521118,283.6519010888193,78604.46341463414,p01,word01
20251231_173001,perfect,1131.855256935034,693.4752012807464,0.2775,1.632149575374166,1872.144423252436,18552.472692339423,18509.79951575272,188.33124900716555,4610.548830271997,4786021.064166667,p01,word01
20251231_173416,medium,928.5972800603556,572.3380797232535,0.1409507923269391,1.6224628612635796,1575.905910925003,14931.01021364596,14863.186913814709,142.23758063678935,3644.5756424844312,3345772.348623853,p01,word01
20251231_173506,medium,930.306682895187,501.4257670857753,0.1541666666666666,1.8553228455862805,1285.5663673755707,10834.398921952246,10767.264727982258,165.36550981872017,3003.883002676748,2518151.4091666667,p01,word01
20251231_173715,perfect,1587.2362752983383,782.0007918431301,0.1357202331390508,2.029711849175502,2183.1713014418965,18275.69363936701,18175.3442497326,181.49914487223023,4471.447615817559,7285555.925062448,p01,word01
20251231_173938,perfect,1109.4823577003149,545.1815605120819,0.0906040268456375,2.035069481482688,1466.6911232334792,15041.322880651156,14942.358240501251,150.24889077434017,3204.212216747097,3382133.953020134,p01,word01
20251231_174029,perfect,1203.6496048358515,630.417718310033,0.1109257714762301,1.9092889808890487,1724.7451816251385,14042.173336061622,13961.303069585,161.42023403213074,3481.790080282374,4423518.312760633,p01,word01
20251231_174112,perfect,903.2226658498132,333.1755166796956,0.0191666666666666,2.7109514892932283,835.6026009584284,7763.553116969059,7696.957321305969,117.84962341738158,1929.1705578470408,1514042.8908333334,p01,word01
20251231_174154,perfect,1038.198099248665,401.53758081576336,0.045,2.585556486528375,1043.9163532342004,7447.228074928282,7356.845554494295,126.23239263643318,2583.9453135113417,2167616.645833333,p01,word01
20251231_174240,perfect,1050.7034691485453,396.4211293848093,0.0216666666666666,2.650472915327744,1034.5696468029007,6880.1809569225725,6794.454648241981,122.92890763419877,2443.8674286060027,2174312.134166667,p01,word01
20251231_174336,perfect,1003.9411059411068,424.99373450164734,0.0657118786857624,2.362249186464103,1129.5522006897818,7162.770483548946,7072.89278887446,123.040106135304,1935.222637776607,2283785.918281381,p01,word01
20251231_174539,medium,1479.3199652772994,948.4933890324386,0.2789342214820982,1.5596523716698822,2468.591887920721,23970.97365565279,23953.50940645621,297.0226037946033,15025.092704063953,8282333.46877602,p01,word01
20251231_174735,medium,1594.319857686795,1045.3294727185266,0.3833333333333333,1.525184066622897,2843.2074481212626,21877.605650527665,21818.903010041908,274.81034040306844,6703.004366769002,10625684.401666667,p01,word01
20251231_174842,medium,1312.2577717379295,799.4009585814512,0.1816666666666666,1.6415514092264778,2052.4896024129825,15602.95119520663,15592.227389911866,262.3629683679378,5989.154090228,5934734.0275,p01,word01
20251231_175435,perfect,1011.0506875945588,455.6123671448248,0.0275,2.219102812575926,1225.531126198448,10719.923367263404,10637.164681918604,125.64718469327198,4860.185403838761,2524150.0341666667,p01,word01
20251231_175530,medium,1437.296674167733,880.7233492824483,0.1333892617449664,1.6319502301225366,2365.6566767046124,21114.519814573097,20875.360871608384,244.32335181580672,13322.55125714167,7662153.241610738,p01,word01
20251231_175642,medium,1439.2255615420308,809.9030013816022,0.2335279399499583,1.7770344810549432,2127.1926721789914,16701.104873630367,16611.830017147706,245.3502853255782,4948.564944823986,6596318.881567974,p01,word01
20251231_175726,medium,1520.529168874402,913.9133172241146,0.2298657718120805,1.6637564400845395,2515.162320230143,18064.35110929812,18020.339747128783,227.6637445072454,4827.198955244237,8638050.450503355,p01,word01
20251231_175813,medium,1711.6216911397185,1111.5390179603849,0.4125,1.5398664931624144,3035.1950667274546,26589.53799899502,26486.69345611597,287.1149970602121,6843.475707899506,12142057.906666666,p01,word01
